7.94,0.14683617651462555,P250 | Inferno (Minimal Wear)
7.98,0.09161107987165451,P250 | Inferno (Minimal Wear)
7.98,0.0934467539191246,P250 | Inferno (Minimal Wear)
7.98,0.09875432401895523,P250 | Inferno (Minimal Wear)
7.98,0.09925058484077454,P250 | Inferno (Minimal Wear)
7.99,0.0919908657670021,P250 | Inferno (Minimal Wear)
8,0.1230001375079155,P250 | Inferno (Minimal Wear)
8,0.09957672655582428,P250 | Inferno (Minimal Wear)
8,0.13692913949489594,P250 | Inferno (Minimal Wear)
8.07,0.14359179139137268,P250 | Inferno (Minimal Wear)
8.07,0.14211778342723846,P250 | Inferno (Minimal Wear)
8.07,0.12185201793909073,P250 | Inferno (Minimal Wear)
8.1,0.14796015620231628,P250 | Inferno (Minimal Wear)
8.1,0.14360319077968597,P250 | Inferno (Minimal Wear)
8.1,0.1378975212574005,P250 | Inferno (Minimal Wear)
8.1,0.13781602680683136,P250 | Inferno (Minimal Wear)
8.1,0.12385234236717224,P250 | Inferno (Minimal Wear)
8.17,0.1405075490474701,P250 | Inferno (Minimal Wear)
8.17,0.11833833903074265,P250 | Inferno (Minimal Wear)
8.17,0.12742426991462708,P250 | Inferno (Minimal Wear)
8.18,0.10866845399141312,P250 | Inferno (Minimal Wear)
8.21,0.11415807902812958,P250 | Inferno (Minimal Wear)
8.21,0.14250187575817108,P250 | Inferno (Minimal Wear)
8.23,0.1435999572277069,P250 | Inferno (Minimal Wear)
8.23,0.13841360807418823,P250 | Inferno (Minimal Wear)
8.23,0.13075222074985504,P250 | Inferno (Minimal Wear)
8.23,0.1485711634159088,P250 | Inferno (Minimal Wear)
8.23,0.13011761009693146,P250 | Inferno (Minimal Wear)
8.3,0.09592223912477493,P250 | Inferno (Minimal Wear)
8.31,0.09030840545892715,P250 | Inferno (Minimal Wear)
8.32,0.09899295121431351,P250 | Inferno (Minimal Wear)
8.32,0.09863287955522537,P250 | Inferno (Minimal Wear)
8.33,0.09025239199399948,P250 | Inferno (Minimal Wear)
8.36,0.09163001924753189,P250 | Inferno (Minimal Wear)
8.4,0.1312442421913147,P250 | Inferno (Minimal Wear)
8.4,0.08649387955665588,P250 | Inferno (Minimal Wear)
8.43,0.14894795417785645,P250 | Inferno (Minimal Wear)
8.43,0.08650558441877365,P250 | Inferno (Minimal Wear)
8.45,0.08815864473581314,P250 | Inferno (Minimal Wear)
8.49,0.089789479970932,P250 | Inferno (Minimal Wear)
8.49,0.0864659920334816,P250 | Inferno (Minimal Wear)
8.5,0.14402925968170166,P250 | Inferno (Minimal Wear)
8.5,0.141834557056427,P250 | Inferno (Minimal Wear)
8.5,0.14647513628005981,P250 | Inferno (Minimal Wear)
8.5,0.08624985069036484,P250 | Inferno (Minimal Wear)
8.58,0.08994291722774506,P250 | Inferno (Minimal Wear)
8.58,0.08768338710069656,P250 | Inferno (Minimal Wear)
8.6,0.11172495037317276,P250 | Inferno (Minimal Wear)
8.7,0.11622817814350128,P250 | Inferno (Minimal Wear)
8.7,0.11302979290485382,P250 | Inferno (Minimal Wear)
8.79,0.10034963488578796,P250 | Inferno (Minimal Wear)
8.8,0.08458464592695236,P250 | Inferno (Minimal Wear)
8.87,0.1013556718826294,P250 | Inferno (Minimal Wear)
8.88,0.14027556777000427,P250 | Inferno (Minimal Wear)
8.88,0.109150230884552,P250 | Inferno (Minimal Wear)
9,0.14645160734653473,P250 | Inferno (Minimal Wear)
9,0.13781628012657166,P250 | Inferno (Minimal Wear)
9,0.12575794756412506,P250 | Inferno (Minimal Wear)
9,0.08411991596221924,P250 | Inferno (Minimal Wear)
9,0.11016613245010376,P250 | Inferno (Minimal Wear)
9,0.08002994954586029,P250 | Inferno (Minimal Wear)
9,0.11922156065702438,P250 | Inferno (Minimal Wear)
9,0.13270318508148193,P250 | Inferno (Minimal Wear)
9.2,0.10077636688947678,P250 | Inferno (Minimal Wear)
9.2,0.1052665263414383,P250 | Inferno (Minimal Wear)
9.36,0.08126915991306305,P250 | Inferno (Minimal Wear)
9.37,0.08286572992801666,P250 | Inferno (Minimal Wear)
9.46,0.10000688582658768,P250 | Inferno (Minimal Wear)
9.49,0.1448184698820114,P250 | Inferno (Minimal Wear)
9.49,0.09860225021839142,P250 | Inferno (Minimal Wear)
9.5,0.09984050691127777,P250 | Inferno (Minimal Wear)
9.56,0.13261102139949799,P250 | Inferno (Minimal Wear)
9.64,0.14205704629421234,P250 | Inferno (Minimal Wear)
9.7,0.10045135021209717,P250 | Inferno (Minimal Wear)
9.79,0.08338328450918198,P250 | Inferno (Minimal Wear)
9.79,0.08040132373571396,P250 | Inferno (Minimal Wear)
9.79,0.08816943317651749,P250 | Inferno (Minimal Wear)
9.79,0.08399933576583862,P250 | Inferno (Minimal Wear)
9.81,0.1445091962814331,P250 | Inferno (Minimal Wear)
9.89,0.1461571455001831,P250 | Inferno (Minimal Wear)
9.89,0.1449824869632721,P250 | Inferno (Minimal Wear)
9.9,0.13161316514015198,P250 | Inferno (Minimal Wear)
9.98,0.07524676620960236,P250 | Inferno (Minimal Wear)
9.98,0.07998201251029968,P250 | Inferno (Minimal Wear)
